,datetime,open,high,low,close,volume
0,2022-01-14,3099.000,3131.000,3066.000,3082.000,35548
1,2022-01-13,3189.500,3248.000,3106.000,3106.000,41475
2,2022-01-12,3191.000,3210.000,3115.000,3181.000,31477
3,2022-01-11,3198.000,3198.000,3091.000,3171.000,34832
4,2022-01-10,3159.500,3230.500,3130.500,3178.500,36557
5,2022-01-07,3200.000,3209.000,3105.000,3159.500,40959
6,2022-01-06,3155.000,3225.000,3154.500,3175.500,30965
7,2022-01-05,3059.500,3151.500,3037.500,3150.000,30629
8,2022-01-04,2957.000,3055.000,2957.000,3047.000,27518
9,2021-12-31,2900.000,2945.000,2861.500,2934.000,31426
10,2021-12-30,2930.000,2953.000,2880.000,2911.000,34726
11,2021-12-29,2895.000,2939.000,2874.000,2934.000,30464
12,2021-12-28,2926.000,2948.000,2886.000,2895.000,38140
13,2021-12-27,3150.000,3166.500,2916.500,2935.500,52189
14,2021-12-24,3092.000,3169.000,3090.000,3169.000,34827
15,2021-12-23,3070.000,3107.000,3045.500,3088.000,24381
16,2021-12-22,3040.000,3110.000,3027.000,3067.000,31288
17,2021-12-21,2992.000,3090.000,2965.000,3078.500,41243
18,2021-12-20,3051.000,3140.000,2988.000,2993.500,45506
19,2021-12-17,3050.000,3098.500,3019.500,3051.000,31096
20,2021-12-16,2996.500,3058.000,2962.000,3053.000,32559
21,2021-12-15,2990.000,3048.000,2955.000,2996.500,35644
22,2021-12-14,2980.000,3016.500,2936.000,2968.000,30441
23,2021-12-13,2939.000,2983.000,2847.000,2972.000,43894
24,2021-12-10,2900.000,2978.000,2853.500,2911.000,41960
25,2021-12-09,2916.500,3000.500,2881.000,2920.500,37060
26,2021-12-08,2956.000,3019.000,2910.000,2916.500,35939
27,2021-12-07,2852.500,2999.500,2852.500,2949.000,37584
28,2021-12-06,2873.000,2899.500,2785.500,2844.000,29265
29,2021-12-03,2710.000,2877.000,2665.500,2847.000,39912
30,2021-12-02,2800.000,2843.500,2709.000,2710.000,34779
31,2021-12-01,2688.000,2813.500,2676.500,2798.000,29843
32,2021-11-30,2609.000,2708.000,2600.000,2663.000,25646
33,2021-11-29,2803.000,2882.000,2800.000,2820.000,13857
34,2021-11-26,3044.000,3045.000,2842.000,2857.000,18771
35,2021-11-25,3000.000,3080.000,2980.000,3044.000,15553
36,2021-11-24,2880.000,3050.000,2876.000,3050.000,19097
37,2021-11-23,2856.500,2956.000,2851.000,2880.500,18367
38,2021-11-22,2758.500,2913.500,2747.500,2866.000,19346
39,2021-11-19,2775.000,2860.000,2680.000,2801.500,26566
40,2021-11-18,2800.000,2840.000,2741.000,2770.000,19713
41,2021-11-17,2650.000,2850.000,2650.000,2777.000,22716
42,2021-11-16,2710.000,2790.000,2670.000,2684.500,19164
43,2021-11-15,2910.000,2928.000,2687.500,2708.000,31462
44,2021-11-12,3039.500,3067.000,2930.000,2952.000,24435
45,2021-11-11,2928.000,3154.500,2928.000,3090.500,28171
46,2021-11-10,2955.000,2970.000,2806.000,2920.000,31202
47,2021-11-09,3070.000,3070.000,2980.000,3012.500,25782
48,2021-11-08,3040.000,3166.000,2995.000,3075.500,34641
49,2021-11-05,3041.000,3118.000,2950.000,3046.000,27790
50,2021-11-04,3210.000,3250.000,2981.500,3034.500,41184
51,2021-11-03,2996.500,3260.000,2966.000,3215.000,50071
52,2021-11-02,2917.500,3115.500,2785.000,3001.000,68098
53,2021-11-01,3000.000,3045.000,2840.000,2897.500,53663
54,2021-10-29,3201.000,3280.000,2943.500,2978.000,84284
55,2021-10-28,3201.000,3392.000,3201.000,3201.000,63794
56,2021-10-27,3770.000,3805.000,3430.000,3430.000,53176
57,2021-10-26,3781.000,3875.000,3591.000,3790.000,96152
58,2021-10-25,3600.000,3789.000,3533.000,3741.000,83421
59,2021-10-22,3630.000,3888.500,3381.500,3564.000,148402
60,2021-10-21,3850.000,4146.000,3663.500,3663.500,129931
61,2021-10-20,4336.000,4410.500,4039.000,4039.000,90947
62,2021-10-19,4400.000,4550.000,4331.500,4402.000,66857
63,2021-10-18,4150.000,4343.500,4103.000,4343.500,59426
64,2021-10-15,3855.000,4128.000,3855.000,4105.500,66165
65,2021-10-14,3880.000,3886.000,3670.000,3858.000,50341
66,2021-10-13,3800.000,3950.000,3610.000,3863.000,82785
67,2021-10-12,3720.000,3826.000,3696.500,3779.000,43629
68,2021-10-11,3505.000,3728.000,3470.000,3716.000,51066
69,2021-10-08,3546.000,3642.000,3452.000,3505.000,41980
70,2021-10-01,3365.000,3590.000,3307.500,3551.000,74587
71,2021-09-30,3365.000,3590.000,3307.500,3551.000,74587
72,2021-09-29,3410.000,3498.000,3334.500,3364.500,57686
73,2021-09-28,3175.000,3420.000,3175.000,3410.000,61089
74,2021-09-27,3248.500,3285.000,3124.000,3173.500,75717
75,2021-09-24,3440.000,3450.000,3186.000,3197.500,72725
76,2021-09-23,3422.000,3536.000,3386.500,3482.000,66187
77,2021-09-22,3200.000,3422.000,3186.000,3417.000,52725
78,2021-09-17,3220.000,3269.500,3150.000,3218.000,58500
79,2021-09-16,3380.000,3460.000,3170.000,3189.000,98437
80,2021-09-15,3330.000,3440.000,3236.000,3373.000,100580
81,2021-09-14,3400.000,3460.000,3309.500,3341.500,103366
82,2021-09-13,3535.500,3635.000,3379.500,3397.000,108914
83,2021-09-10,3847.000,3847.000,3487.500,3508.000,130649
84,2021-09-09,3600.000,3838.500,3600.000,3787.500,94459
85,2021-09-08,3640.000,3645.000,3550.000,3594.000,127921
86,2021-09-07,3520.000,3657.500,3505.000,3655.500,157431
87,2021-09-06,3332.500,3499.500,3270.000,3489.500,179165
88,2021-09-03,3330.000,3384.500,3282.500,3336.500,227777
89,2021-09-02,3220.000,3406.000,3206.000,3359.000,342607
90,2021-09-01,3153.000,3204.500,3106.000,3197.000,241485
91,2021-08-31,3200.000,3208.000,3111.500,3159.000,224521
92,2021-08-30,3175.000,3213.500,3066.500,3187.000,294417
93,2021-08-27,3150.000,3184.500,3074.500,3164.500,295372
94,2021-08-26,3299.500,3334.000,3174.000,3215.500,296760
95,2021-08-25,3156.000,3323.000,3156.000,3293.000,241300
96,2021-08-24,3100.000,3267.500,3100.000,3150.500,304702
97,2021-08-23,2834.000,3053.500,2833.000,3053.500,247535
98,2021-08-20,2839.000,2879.500,2780.000,2830.500,287836
99,2021-08-19,2840.000,2919.000,2762.000,2874.500,452418
100,2021-08-18,2964.000,2968.000,2820.000,2845.000,335661
101,2021-08-17,2874.500,2950.000,2864.500,2947.000,298171
102,2021-08-16,2892.000,2984.000,2868.000,2906.000,330297
103,2021-08-13,3122.000,3156.000,3099.000,3145.000,97406
104,2021-08-12,3128.000,3159.000,3087.500,3103.500,149170
105,2021-08-11,3080.000,3148.000,3065.500,3127.000,154277
106,2021-08-10,2990.000,3087.500,2971.000,3076.000,216135
107,2021-08-09,2990.000,3050.000,2976.500,3005.500,286258
