,datetime,open,high,low,close,volume
0,2022-01-14,4625.000,4679.000,4606.000,4664.000,1153063
1,2022-01-13,4632.000,4701.000,4629.000,4633.000,1371509
2,2022-01-12,4590.000,4634.000,4570.000,4632.000,1065702
3,2022-01-11,4500.000,4590.000,4481.000,4589.000,1581977
4,2022-01-10,4525.000,4537.000,4463.000,4492.000,1133370
5,2022-01-07,4495.000,4530.000,4455.000,4526.000,1285819
6,2022-01-06,4452.000,4505.000,4430.000,4494.000,1422849
7,2022-01-05,4400.000,4449.000,4385.000,4444.000,1277992
8,2022-01-04,4302.000,4398.000,4291.000,4395.000,1184617
9,2021-12-31,4282.000,4348.000,4267.000,4315.000,1446800
10,2021-12-30,4321.000,4368.000,4265.000,4282.000,1916411
11,2021-12-29,4319.000,4346.000,4270.000,4315.000,1728554
12,2021-12-28,4318.000,4353.000,4301.000,4319.000,1593516
13,2021-12-27,4510.000,4523.000,4292.000,4307.000,2238448
14,2021-12-24,4481.000,4545.000,4479.000,4519.000,1613379
15,2021-12-23,4429.000,4488.000,4403.000,4479.000,1753140
16,2021-12-22,4480.000,4498.000,4412.000,4438.000,1709898
17,2021-12-21,4485.000,4523.000,4444.000,4473.000,1935240
18,2021-12-20,4498.000,4595.000,4469.000,4475.000,2010427
19,2021-12-17,4529.000,4563.000,4484.000,4505.000,1582890
20,2021-12-16,4436.000,4534.000,4428.000,4529.000,1654291
21,2021-12-15,4383.000,4468.000,4368.000,4441.000,1906505
22,2021-12-14,4413.000,4429.000,4352.000,4382.000,1646029
23,2021-12-13,4322.000,4417.000,4280.000,4415.000,2231172
24,2021-12-10,4279.000,4345.000,4264.000,4322.000,2020021
25,2021-12-09,4338.000,4396.000,4271.000,4293.000,2557982
26,2021-12-08,4464.000,4478.000,4346.000,4350.000,2415138
27,2021-12-07,4384.000,4496.000,4373.000,4450.000,2256706
28,2021-12-06,4408.000,4449.000,4334.000,4359.000,2090706
29,2021-12-03,4290.000,4386.000,4275.000,4384.000,2352415
30,2021-12-02,4315.000,4370.000,4225.000,4288.000,2487761
31,2021-12-01,4165.000,4315.000,4163.000,4306.000,2311658
32,2021-11-30,4160.000,4203.000,4078.000,4163.000,2102255
33,2021-11-29,4055.000,4196.000,4050.000,4145.000,2083315
34,2021-11-26,4248.000,4255.000,4100.000,4104.000,2459199
35,2021-11-25,4239.000,4288.000,4214.000,4255.000,1901062
36,2021-11-24,4010.000,4257.000,4010.000,4239.000,2265274
37,2021-11-23,3967.000,4143.000,3942.000,4006.000,1958351
38,2021-11-22,3939.000,4046.000,3906.000,3964.000,1617040
39,2021-11-19,3770.000,4039.000,3765.000,3974.000,1888556
40,2021-11-18,3879.000,3891.000,3781.000,3781.000,1169049
41,2021-11-17,3883.000,3910.000,3824.000,3885.000,1118553
42,2021-11-16,4153.000,4285.000,4120.000,4128.000,3126442
43,2021-11-15,4195.000,4255.000,4125.000,4138.000,3659782
44,2021-11-12,4425.000,4428.000,4246.000,4249.000,3441240
45,2021-11-11,4275.000,4466.000,4236.000,4443.000,3680862
46,2021-11-10,4219.000,4254.000,4026.000,4246.000,3963513
47,2021-11-09,4290.000,4359.000,4226.000,4257.000,2794490
48,2021-11-08,4255.000,4397.000,4215.000,4312.000,2993817
49,2021-11-05,4238.000,4305.000,4122.000,4247.000,3131361
